iter	Passed	Remaining
675	39628	18993
676	39686	18934
677	39744	18875
678	39805	18818
679	39866	18760
680	39923	18701
681	39980	18641
682	40037	18582
683	40103	18527
684	40161	18468
685	40221	18410
686	40277	18350
687	40334	18291
688	40391	18231
689	40449	18172
690	40512	18116
691	40572	18058
692	40628	17998
693	40685	17939
694	40748	17882
695	40812	17826
696	40874	17769
697	40931	17709
698	40990	17651
699	41049	17592
700	41107	17533
701	41166	17475
702	41225	17416
703	41281	17356
704	41338	17297
705	41398	17239
706	41456	17180
707	41512	17121
708	41573	17063
709	41633	17005
710	41695	16947
711	41758	16891
712	41818	16832
713	41871	16772
714	41933	16714
715	41995	16657
716	42056	16599
717	42113	16540
718	42171	16481
719	42230	16422
720	42288	16364
721	42350	16306
722	42405	16246
723	42462	16187
724	42522	16129
725	42581	16070
726	42639	16011
727	42699	15953
728	42756	15894
729	42814	15835
730	42873	15776
731	42930	15717
732	42991	15659
733	43049	15600
734	43106	15541
735	43163	15482
736	43226	15425
737	43286	15367
738	43344	15308
739	43406	15250
740	43463	15191
741	43523	15133
742	43584	15075
743	43647	15018
744	43704	14959
745	43763	14900
746	43820	14841
747	43881	14783
748	43940	14725
749	44005	14668
750	44060	14608
751	44116	14549
752	44172	14489
753	44231	14430
754	44290	14372
755	44350	14314
756	44412	14256
757	44475	14199
758	44536	14141
759	44594	14082
760	44656	14024
761	44717	13966
762	44776	13908
763	44832	13848
764	44890	13789
765	44944	13729
766	45001	13670
767	45059	13611
768	45119	13553
769	45181	13495
770	45238	13436
771	45297	13378
772	45357	13319
773	45414	13260
774	45472	13201
775	45532	13143
776	45590	13084
777	45647	13025
778	45705	12966
779	45763	12907
780	45824	12849
781	45887	12792
782	45946	12733
783	46002	12674
784	46057	12614
785	46114	12555
786	46168	12495
787	46223	12435
788	46286	12378
789	46341	12318
790	46397	12259
791	46454	12200
792	46510	12140
793	46569	12082
794	46625	12022
795	46685	11964
796	46741	11905
797	46797	11845
798	46855	11787
799	46914	11728
800	46977	11671
801	47038	11612
802	47096	11554
803	47157	11496
804	47214	11437
805	47277	11379
806	47343	11322
807	47405	11264
808	47470	11207
809	47532	11149
810	47591	11090
811	47651	11032
812	47707	10973
813	47764	10914
814	47819	10854
815	47878	10796
816	47936	10737
817	47993	10678
818	48051	10619
819	48106	10560
820	48165	10501
821	48226	10443
822	48281	10383
823	48339	10324
824	48395	10265
825	48455	10207
826	48516	10149
827	48573	10090
828	48634	10032
829	48693	9973
830	48751	9914
831	48805	9855
832	48863	9796
833	48919	9736
834	48979	9678
835	49038	9620
836	49092	9560
837	49151	9501
838	49208	9442
839	49263	9383
840	49318	9324
841	49376	9265
842	49436	9206
843	49495	9148
844	49556	9090
845	49614	9031
846	49670	8972
847	49727	8913
848	49785	8854
849	49846	8796
850	49903	8737
851	49962	8678
852	50024	8620
853	50083	8562
854	50146	8504
855	50203	8445
856	50259	8386
857	50324	8328
858	50383	8270
859	50446	8212
860	50506	8153
861	50564	8095
862	50624	8036
863	50682	7977
864	50741	7919
865	50805	7861
866	50865	7802
867	50930	7745
868	50997	7687
869	51055	7629
870	51111	7569
871	51168	7510
872	51229	7452
873	51290	7394
874	51355	7336
875	51414	7277
876	51473	7219
877	51531	7160
878	51592	7102
879	51649	7043
880	51712	6984
881	51771	6926
882	51832	6867
883	51890	6809
884	51946	6750
885	52003	6691
886	52067	6633
887	52126	6574
888	52182	6515
889	52238	6456
890	52297	6397
891	52359	6339
892	52418	6280
893	52475	6221
894	52531	6162
895	52588	6104
896	52647	6045
897	52704	5986
898	52762	5927
899	52818	5868
900	52877	5810
901	52936	5751
902	52992	5692
903	53047	5633
904	53106	5574
905	53171	5516
906	53234	5458
907	53291	5399
908	53345	5340
909	53405	5281
910	53467	5223
911	53525	5164
912	53582	5105
913	53638	5046
914	53699	4988
915	53755	4929
916	53815	4870
917	53871	4812
918	53929	4753
919	53989	4694
920	54045	4635
921	54102	4577
922	54160	4518
923	54217	4459
924	54276	4400
925	54336	4342
926	54397	4283
927	54453	4224
928	54508	4165
929	54564	4106
930	54619	4048
931	54673	3989
932	54737	3930
933	54795	3872
934	54852	3813
935	54911	3754
936	54970	3695
937	55027	3637
938	55082	3578
939	55140	3519
940	55198	3460
941	55253	3402
942	55311	3343
943	55368	3284
944	55423	3225
945	55480	3166
946	55544	3108
947	55599	3049
948	55656	2991
949	55713	2932
950	55771	2873
951	55826	2814
952	55884	2756
953	55942	2697
954	56001	2638
955	56056	2580
956	56115	2521
957	56170	2462
958	56227	2403
959	56284	2345
960	56342	2286
961	56411	2228
962	56469	2169
963	56539	2111
964	56598	2052
965	56657	1994
966	56717	1935
967	56787	1877
968	56860	1819
969	56936	1760
970	57006	1702
971	57077	1644
972	57147	1585
973	57217	1527
974	57284	1468
975	57356	1410
976	57425	1351
977	57494	1293
978	57567	1234
979	57636	1176
980	57708	1117
981	57779	1059
982	57849	1000
983	57920	941
984	57994	883
985	58063	824
986	58131	765
987	58209	707
988	58290	648
989	58359	589
990	58433	530
991	58504	471
992	58578	412
993	58656	354
994	58728	295
995	58798	236
996	58869	177
997	58954	118
998	59032	59
999	59106	0
